bus_i,link,lon,lat,typ,State,BA_Assumption
20881,source,-78.85105,36.103886,joint,NC,DUK
20882,sink,-78.827891,36.05139,joint,NC,DUK
20883,sink,-78.778485,36.125652,joint,NC,DUK
20895,source,-78.802593,36.070617,joint,NC,DUK
20896,source,-79.073608,36.479733,joint,NC,DUK
20897,sink,-78.802433,36.070939,joint,NC,DUK
21118,source,-78.85122,35.877012,joint,NC,DUK
21135,sink,-78.850191,35.883452,joint,NC,DUK
21284,source,-80.909992,35.426663,joint,NC,DUK
21285,sink,-80.878215,35.458035,joint,NC,DUK
22425,sink,-78.200906,36.565323,joint,Outside of NC,PJM
22426,source,-77.567983,36.479131,joint,NC,PJM
22427,sink,-77.565165,36.479896,joint,NC,PJM
22521,sink,-77.627706,36.463394,joint,NC,PJM
22537,source,-78.991424,34.596098,joint,NC,CPLE
22538,sink,-80.986376,35.229055,joint,NC,DUK
22539,source,-77.748152,36.038951,joint,NC,CPLE
22540,source,-77.752387,36.043051,joint,NC,CPLE
22541,source,-78.953542,36.439044,joint,NC,DUK
22542,source,-79.052474,36.475565,joint,NC,DUK
22543,sink,-79.071351,36.478793,joint,NC,DUK
22544,sink,-78.006235,33.946725,joint,NC,CPLE
22546,sink,-78.741,35.65046,joint,NC,DUK
22548,source,-78.558319,35.761699,joint,NC,DUK
22549,sink,-78.453969,35.784709,joint,NC,DUK
22589,sink,-78.378038,35.770762,joint,NC,DUK
22590,sink,-77.993149,35.773378,joint,NC,CPLE
22591,source,-78.710978,35.412374,joint,NC,CPLE
22592,source,-78.771812,35.564205,joint,NC,DUK
22602,sink,-80.610236,36.455661,joint,NC,DUK
22609,sink,-81.107527,36.163909,joint,Outside of NC,DUK
22611,source,-78.226311,34.324112,joint,NC,CPLE
22612,source,-78.970786,34.586702,joint,NC,CPLE
22779,sink,-78.863413,36.474591,joint,NC,DUK
22813,source,-78.839704,35.819534,joint,NC,DUK
22814,sink,-78.60302,35.895288,joint,NC,DUK
22815,source,-78.654254,35.909739,joint,NC,DUK
22816,sink,-78.717651,35.916263,joint,NC,DUK
22817,sink,-78.568589,35.93487,joint,NC,DUK
22818,sink,-78.506206,35.715651,joint,NC,DUK
22867,sink,-78.911799,35.009355,joint,NC,CPLE
22868,sink,-78.86908,35.117183,joint,NC,CPLE
23582,source,-77.346049,34.738643,joint,NC,CPLE
23583,sink,-77.360784,34.747693,joint,NC,CPLE
23584,source,-77.421803,34.770482,joint,NC,CPLE
23585,source,-77.424092,34.779723,joint,NC,CPLE
23586,sink,-77.427624,34.793933,joint,NC,CPLE
23596,source,-76.81036033,34.75253497,joint,NC,CPLE
23598,source,-77.16748,35.061626,joint,NC,CPLE
23599,sink,-77.169095,35.06289,joint,NC,CPLE
23600,source,-78.000887,35.284139,joint,NC,CPLE
23766,sink,-78.882501,34.960858,joint,NC,CPLE
23767,source,-78.972471,35.125911,joint,NC,CPLE
23768,sink,-77.993816,34.312102,joint,NC,CPLE
23769,sink,-77.881265,34.25508,joint,NC,CPLE
23770,sink,-77.880999,34.255143,joint,NC,CPLE
23771,source,-77.712778,34.403729,joint,NC,CPLE
23772,source,-77.487732,34.734517,joint,NC,CPLE
23773,source,-77.504177,34.799983,joint,NC,CPLE
23774,sink,-78.994845,34.269638,joint,NC,CPLE
23775,source,-79.5520352,34.68943962,joint,NC,CPLE
23776,source,-79.099727,34.583071,joint,NC,CPLE
23777,source,-79.260127,34.648942,joint,NC,CPLE
23778,sink,-79.3526,34.358743,joint,Outside of NC,CPLE
23779,source,-77.225964,34.812946,joint,NC,CPLE
23780,source,-77.187355,34.856228,joint,NC,CPLE
23781,sink,-77.144998,35.116197,joint,NC,CPLE
23782,source,-77.662161,35.222195,joint,NC,CPLE
23783,source,-76.840612,35.148661,joint,NC,CPLE
23784,source,-76.867588,35.294415,joint,NC,CPLE
23785,source,-76.811778,35.308084,joint,NC,CPLE
23786,sink,-77.334987,35.619867,joint,NC,CPLE
23787,sink,-77.359271,35.621434,joint,NC,CPLE
23788,sink,-77.977342,34.821065,joint,NC,CPLE
23789,sink,-78.116625,34.982491,joint,NC,CPLE
23790,source,-78.38894,35.22638,joint,NC,CPLE
23792,sink,-79.710648,34.918577,joint,NC,CPLE
23793,source,-78.979674,34.968033,joint,NC,CPLE
23842,source,-77.847472,35.805166,joint,NC,CPLE
23843,source,-77.822936,35.865664,joint,NC,CPLE
23844,source,-77.822054,35.867211,joint,NC,CPLE
23845,source,-77.821688,35.868695,joint,NC,CPLE
